id,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,x_coordinate,y_coordinate
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3657,243080,Home Reef,14770,Confirmed Eruption,3.0,?,,,Observations: Reported,,1984,,,3.0,1.0,,,1984.0,,,3.0,5.0,,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3658,243080,Home Reef,14771,Confirmed Eruption,2.0,?,,,Observations: Reported,,2006,,,8.0,7.0,,,2006.0,,?,8.0,16.0,,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3659,243080,Home Reef,22478,Confirmed Eruption,2.0,,,,Observations: Reported,,2022,,,9.0,10.0,,,2022.0,,,10.0,17.0,,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365a,243080,Home Reef,22548,Confirmed Eruption,1.0,,,,Observations: Reported,,2023,,,10.0,12.0,,,2023.0,,,10.0,19.0,,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365b,243080,Home Reef,22579,Confirmed Eruption,1.0,,,,Observations: Satellite (infrared),,2024,,,6.0,10.0,,,2024.0,,,7.0,4.0,,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365c,243080,Home Reef,22591,Confirmed Eruption,2.0,,,,Observations: Reported,,2024,,,12.0,4.0,,,2025.0,,,6.0,29.0,1.0,-174.775,-18.992
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365d,243091,Unnamed,14772,Confirmed Eruption,2.0,,,,Observations: Reported,,2001,,,9.0,27.0,,,2001.0,,?,9.0,28.0,,-174.365,-18.325
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365e,243091,Unnamed,22460,Confirmed Eruption,3.0,,,,Observations: Satellite (visual),,2019,,,8.0,6.0,,,2019.0,,,8.0,8.0,,-174.365,-18.325
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_365f,243090,Late,14773,Confirmed Eruption,2.0,,NE flank?,,Observations: Reported,,1790,,,0.0,0.0,,,,,,,,,-174.65,-18.806
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3660,243090,Late,14774,Confirmed Eruption,2.0,,NE flank,,Observations: Reported,,1854,,,0.0,0.0,,,,,,,,,-174.65,-18.806
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3661,243102,Curacoa,14775,Confirmed Eruption,3.0,,6.4 km SW of Curacoa Reef,,Observations: Reported,,1973,,,7.0,11.0,,,1973.0,,,7.0,16.0,,-173.67,-15.62
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3662,243102,Curacoa,14776,Confirmed Eruption,1.0,,13 km north of Tafahi,,Observations: Reported,,1979,,,5.0,14.0,,,,,,,,,-173.67,-15.62
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3663,243100,Fonualei,14777,Uncertain Eruption,,,,,,<,1780,,,0.0,0.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3664,243100,Fonualei,14778,Confirmed Eruption,2.0,,,,Observations: Reported,,1791,,,0.0,0.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3665,243100,Fonualei,14779,Confirmed Eruption,4.0,?,,,Observations: Reported,,1846,,?,6.0,11.0,,,1846.0,,>,10.0,10.0,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3666,243100,Fonualei,14780,Confirmed Eruption,,,,,Observations: Reported,,1906,,,3.0,0.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3667,243100,Fonualei,14781,Confirmed Eruption,2.0,,"Summit, W and SE sides",,Observations: Reported,,1939,,,6.0,0.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3668,243100,Fonualei,14782,Confirmed Eruption,2.0,,North-central part of the island,,Observations: Reported,,1951,,,8.0,21.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3669,243100,Fonualei,14783,Confirmed Eruption,,,,,Observations: Reported,,1957,,,6.0,16.0,15.0,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366a,243100,Fonualei,14784,Uncertain Eruption,1.0,,,,,,1974,,,2.0,16.0,,,,,,,,,-174.317,-18.023
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366b,243110,Niuafo'ou,14785,Uncertain Eruption,2.0,,South end of caldera ?,,Observations: Reported,,1814,,,0.0,0.0,,,,,,,,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366c,243110,Niuafo'ou,14787,Confirmed Eruption,0.0,,SW caldera rim (Ahau village area),,Observations: Reported,,1853,,,6.0,24.0,,,1853.0,,?,6.0,24.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366d,243110,Niuafo'ou,14788,Confirmed Eruption,1.0,,SSW flank,,Observations: Reported,,1867,,,4.0,12.0,,,,,,,,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366e,243110,Niuafo'ou,14789,Confirmed Eruption,4.0,?,NE side of caldera,,Observations: Reported,,1886,,,8.0,31.0,,,1886.0,,?,9.0,18.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_366f,243110,Niuafo'ou,14790,Uncertain Eruption,2.0,,,,Observations: Reported,,1887,,,0.0,0.0,,,,,,,,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3670,243110,Niuafo'ou,14791,Confirmed Eruption,2.0,,"West side, near Alele 'Uta village",,Observations: Reported,,1912,,,10.0,15.0,5.0,,,,,,,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3671,243110,Niuafo'ou,14792,Confirmed Eruption,2.0,,West flank,,Observations: Reported,,1929,,,7.0,25.0,,,1929.0,,,7.0,26.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3672,243110,Niuafo'ou,14793,Confirmed Eruption,2.0,,South flank,,Observations: Reported,,1935,,,12.0,7.0,,,1936.0,,?,2.0,0.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3673,243110,Niuafo'ou,14794,Confirmed Eruption,2.0,,SW flank,,Observations: Reported,,1943,,,9.0,26.0,,,1943.0,,,10.0,16.0,30.0,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3674,243110,Niuafo'ou,14795,Confirmed Eruption,2.0,,North flank,,Observations: Reported,,1946,,,9.0,9.0,,,1946.0,,,9.0,17.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3675,243110,Niuafo'ou,14796,Uncertain Eruption,,,,,,,1947,,,1.0,0.0,,,,,,,,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3676,243110,Niuafo'ou,14798,Uncertain Eruption,0.0,,NE part of caldera lake (Vai Lahi),,Observations: Reported,,1985,,,3.0,21.0,,,1985.0,,,3.0,22.0,,-175.63,-15.6
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3677,243120,Tafu-Maka,14799,Confirmed Eruption,0.0,,Maka,,Observations: Reported,,2008,,?,11.0,16.0,15.0,,2008.0,,?,11.0,16.0,15.0,-174.23,-15.37
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3678,243130,West Mata,14800,Confirmed Eruption,0.0,,Prometheus and Hades vents,,Observations: Reported,,2008,,<,11.0,16.0,15.0,,2009.0,,>,5.0,16.0,15.0,-173.75,-15.1
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_3679,244000,Vailulu'u,14801,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1973,,,7.0,10.0,,,1973.0,,,7.0,10.0,,-169.058,-14.215
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_367a,244000,Vailulu'u,14802,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1995,,,1.0,9.0,,,1995.0,,,1.0,29.0,,-169.058,-14.215
