gid,geom,pop,volcano_id,source,buffer_km
30059115,POINT (125.52083211125002 3.654166988049994),114,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059114,POINT (125.51249877795 3.654166988049994),78,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059113,POINT (125.50416544465003 3.654166988049994),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059120,POINT (125.56249877775002 3.654166988049994),873,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061182,POINT (125.55416544445 3.6458336547499997),723,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061181,POINT (125.54583211115002 3.645833654749999),238,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061180,POINT (125.53749877785003 3.6458336547499997),329,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061177,POINT (125.51249877795001 3.645833654749999),153,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061176,POINT (125.50416544465003 3.6458336547499997),69,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061178,POINT (125.52083211124999 3.6458336547499997),34,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061179,POINT (125.52916544455 3.6458336547499997),135,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061184,POINT (125.57083211105005 3.6458336547499997),169,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061183,POINT (125.56249877775004 3.6458336547499997),1730,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065235,POINT (125.50416544465003 3.629166988149997),72,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065236,POINT (125.51249877795001 3.6291669881499966),117,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065238,POINT (125.52916544455 3.629166988149997),20,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065237,POINT (125.52083211124999 3.629166988149997),27,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
